model,bin,date,% buy,% sell,% hold
hgbr,2,2008-11-28,0.43439716312056736,0.43617021276595747,0.12943262411347517
hgbr,2,2008-12-28,0.41840490797546015,0.41779141104294476,0.1638036809815951
hgbr,2,2009-01-28,0.43675417661097854,0.4379474940334129,0.12529832935560858
hgbr,2,2009-02-28,0.4595060310166571,0.4618035611717404,0.07869040781160253
hgbr,2,2009-03-28,0.44004796163069543,0.4430455635491607,0.11690647482014388
hgbr,2,2009-04-28,0.4282178217821782,0.42945544554455445,0.14232673267326731
hgbr,2,2009-05-28,0.387375415282392,0.39069767441860465,0.22192691029900333
hgbr,2,2009-06-28,0.4250629722921914,0.4263224181360202,0.1486146095717884
hgbr,2,2009-07-28,0.43985194324491056,0.4404688463911166,0.11967921036397286
hgbr,2,2009-08-28,0.4448552064078866,0.4430067775723968,0.11213801601971657
hgbr,2,2009-09-28,0.4392059553349876,0.44106699751861045,0.11972704714640199
hgbr,2,2009-10-28,0.4386733416770964,0.43929912390488113,0.12202753441802253
hgbr,2,2009-11-28,0.4377358490566038,0.4389937106918239,0.12327044025157233
hgbr,2,2009-12-28,0.44707347447073476,0.44582814445828145,0.10709838107098381
hgbr,2,2010-01-28,0.43450479233226835,0.4319488817891374,0.13354632587859425
hgbr,2,2010-02-28,0.439595192915876,0.439595192915876,0.12080961416824794
hgbr,2,2010-03-28,0.44479297365119197,0.44604767879548307,0.10915934755332497
hgbr,2,2010-04-28,0.43170103092783507,0.4329896907216495,0.13530927835051546
hgbr,2,2010-05-28,0.4773809523809524,0.47559523809523807,0.04702380952380952
hgbr,2,2010-06-28,0.4398976982097187,0.4367007672634271,0.12340153452685422
hgbr,2,2010-07-28,0.412751677852349,0.412751677852349,0.174496644295302
hgbr,2,2010-08-28,0.4512884978001257,0.44940289126335636,0.09930861093651791
hgbr,2,2010-09-28,0.45843672456575685,0.45719602977667495,0.08436724565756824
hgbr,2,2010-10-28,0.45522855353788355,0.4533500313087038,0.09142141515341265
hgbr,2,2010-11-28,0.43907156673114117,0.440361057382334,0.12056737588652482
hgbr,2,2010-12-28,0.44329228775113416,0.440051847051199,0.11665586519766688
hgbr,2,2011-01-28,0.43790849673202614,0.43594771241830066,0.1261437908496732
hgbr,2,2011-02-28,0.4360655737704918,0.43344262295081964,0.13049180327868853
hgbr,2,2011-03-28,0.42762284196547146,0.42828685258964144,0.14409030544488713
hgbr,2,2011-04-28,0.4430628272251309,0.43848167539267013,0.11845549738219895
hgbr,2,2011-05-28,0.41119557705597787,0.40843123704215617,0.18037318590186593
